;;;;;;;;;;;;;;Performance;;;;;;;;;
Rk;Season;Team;Comp;W;MP;W;D;L;Pts;Pts/MP;LgRank;Min;Subs;GF;GA;GD;Poss;CS;CS%;G-PK;PK;PKatt;PKm
138;2023-2024;Strasbourg;fr Ligue 1;10;34;10;9;15;39;1.15;13th;3,06;141;38;50;-12;44.3;5;14.7;33;3;4;1
139;2021-2022;Angers;fr Ligue 1;10;38;10;11;17;41;1.08;14th;3,42;154;44;55;-11;48.4;8;21.1;32;9;9;0
140;2019-2020;Reims;fr Ligue 1;10;28;10;11;7;41;1.46;6th;2,52;81;26;21;5;48.9;12;42.9;21;5;5;0
141;2018-2019;Bordeaux;fr Ligue 1;10;38;10;11;17;41;1.08;14th;3,42;110;34;42;-8;50.1;10;26.3;29;5;6;1
142;2018-2019;Angers;fr Ligue 1;10;38;10;16;12;46;1.21;13th;3,42;110;44;49;-5;43.3;13;34.2;37;5;10;5
143;2017-2018;Caen;fr Ligue 1;10;38;10;8;20;38;1.00;16th;3,42;95;27;52;-25;45.5;13;34.2;20;5;8;3
144;2017-2018;Lille;fr Ligue 1;10;38;10;8;20;38;1.00;17th;3,42;109;41;67;-26;53.8;5;13.2;39;2;2;0
145;2016-2017;Montpellier;fr Ligue 1;10;38;10;9;19;39;1.03;15th;3,42;101;48;66;-18;49.4;7;18.4;45;3;3;0
146;2016-2017;Toulouse;fr Ligue 1;10;38;10;14;14;44;1.16;13th;3,42;112;37;41;-4;45.4;12;31.6;31;6;9;3
147;2016-2017;Caen;fr Ligue 1;10;38;10;7;21;37;0.97;17th;3,42;101;36;65;-29;45.8;9;23.7;31;4;5;1
148;2016-2017;Lorient;fr Ligue 1;10;38;10;6;22;36;0.95;18th;3,42;110;44;70;-26;50.5;4;10.5;39;4;6;2
149;2015-2016;Marseille;fr Ligue 1;10;38;10;18;10;48;1.26;13th;3,42;112;48;42;6;56.6;9;23.7;46;2;4;2
