;;;;;;;;;;;;;;Performance;;;;;;;;;
Rk;Season;Team;Comp;W;MP;W;D;L;Pts;Pts/MP;LgRank;Min;Subs;GF;GA;GD;Poss;CS;CS%;G-PK;PK;PKatt;PKm
188;2021-2022;Bordeaux;fr Ligue 1;6;38;6;13;19;31;0.82;20th;3,42;182;52;91;-39;47.4;2;5.3;48;2;4;2
189;2021-2022;Metz;fr Ligue 1;6;38;6;13;19;31;0.82;19th;3,42;146;35;69;-34;42.9;8;21.1;32;1;1;0
190;2017-2018;Metz;fr Ligue 1;6;38;6;8;24;26;0.68;20th;3,42;102;34;76;-42;45.5;4;10.5;30;3;4;1
191;2023-2024;Clermont Foot;fr Ligue 1;5;34;5;10;19;25;0.74;18th;3,06;156;26;60;-34;48.9;5;14.7;20;6;8;2
192;2018-2019;Guingamp;fr Ligue 1;5;38;5;12;21;27;0.71;20th;3,42;107;28;68;-40;44.1;10;26.3;23;5;6;1
193;2022-2023;Troyes;fr Ligue 1;4;38;4;12;22;24;0.63;19th;3,42;141;45;81;-36;42.6;1;2.6;38;5;5;0
194;2022-2023;Angers;fr Ligue 1;4;38;4;6;28;18;0.47;20th;3,42;157;33;81;-48;46.9;4;10.5;27;4;4;0
195;2020-2021;Dijon;fr Ligue 1;4;38;4;9;25;21;0.55;20th;3,42;150;25;73;-48;46.2;6;15.8;22;3;5;2
196;2019-2020;Amiens;fr Ligue 1;4;28;4;11;13;23;0.82;19th;2,52;83;31;50;-19;45.6;5;17.9;27;3;5;2
197;2019-2020;Toulouse;fr Ligue 1;3;28;3;4;21;13;0.46;20th;2,52;82;22;58;-36;44.2;3;10.7;17;4;6;2
198;2015-2016;Troyes;fr Ligue 1;3;38;3;9;26;18;0.47;20th;3,42;114;28;83;-55;48.2;3;7.9;24;3;3;0
